University,Graduate Admission Link,FAQ Link
Stanford University,https://www.cs.stanford.edu/admissions/masters-admissions,https://www.cs.stanford.edu/admissions/masters-admissions-frequently-asked-questions
Massachusetts Institute of Technology,https://www.eecs.mit.edu/academics/graduate-programs/admission-process/graduate-admissions-information-letter/,https://www.eecs.mit.edu/academics/graduate-programs/admission-process/graduate-admissions-faqs/
Carnegie Mellon University,https://csd.cmu.edu/academics/masters/admissions,https://www.cs.cmu.edu/academics/faq
UC Berkeley,https://eecs.berkeley.edu/academics/graduate/research-programs/admissions/,https://eecs.berkeley.edu/academics/graduate/faq-3/
University of Washington Seattle,https://www.cs.washington.edu/academics/pmp/admissions,https://www.cs.washington.edu/academics/pmp/admissions/faq
Harvard University,https://seas.harvard.edu/applied-computation/graduate-programs/masters-computational-science-and-engineering/how-apply,https://seas.harvard.edu/applied-computation/graduate-programs/masters-computational-science-and-engineering/cse-faq
University of Illinois - Urbana Champaign,https://cs.illinois.edu/admissions/graduate/applications-process-requirements,https://cs.illinois.edu/admissions/graduate/faqs
Georgia Institute of Technology,https://www.cc.gatech.edu/ms-computer-science-admission-requirements,https://www.cc.gatech.edu/ms-computer-science-admissions-faq
Cornell University,https://www.cs.cornell.edu/ms/admissions,https://www.cs.cornell.edu/ms/admissions/applicant-faq
"University of Maryland, College Park",https://gradschool.umd.edu/computermathematicalnatural-sciences/cmsc,https://www.cs.umd.edu/grad/admissions-faq
University of Michigan,https://cse.engin.umich.edu/academics/graduate/admissions/,https://cse.engin.umich.edu/academics/graduate/admissions/faqs/
University of California San Diego,https://cse.ucsd.edu/graduate/cse-graduate-application-checklist,https://cse.ucsd.edu/graduate/graduate-admissions-faq
Princeton University,https://www.cs.princeton.edu/grad/admissions-requirements,https://www.cs.princeton.edu/grad/faq
Columbia University,https://www.gradengineering.columbia.edu/graduate-admissions/application-requirements,https://www.gradengineering.columbia.edu/faq/application
University of California Los Angeles,https://grad.ucla.edu/requirements/?app=admission&major=0201,https://www.cs.ucla.edu/graduate-admission-frequently-asked-questions/
University of Southern California,https://viterbigradadmission.usc.edu/programs/masters/msprograms/computer-science/ms-computer-science/,https://viterbigradadmission.usc.edu/programs/masters/faq/
University of Texas Austin,https://www.cs.utexas.edu/graduate/prospective-students/apply,https://www.cs.utexas.edu/faq/graduate
New York University,https://engineering.nyu.edu/admissions/graduate/apply/requirements,https://engineering.nyu.edu/academics/departments/computer-science-and-engineering/student-resources/ms-frequently-asked
Johns Hopkins University,https://www.cs.jhu.edu/academic-programs/graduate-studies/mse-programs/,https://www.cs.jhu.edu/academic-programs/graduate-studies/mse-programs/mse-faqs/
Purdue University West Lafayette Campus,https://www.purdue.edu/gradschool/prospective/gradrequirements/westlafayette/cs.html,https://www.cs.purdue.edu/graduate/admission/faq.html
University of Wisconsin Madison,https://guide.wisc.edu/graduate/computer-sciences/computer-sciences-ms/computer-sciences-computer-sciences-ms/#admissionstext,https://www.cs.wisc.edu/graduate/graduate-admissions-faq/
Michigan State University,https://at3.cse.msu.edu/Students/Future_Grad/HowToApply.php,https://hrlr.msu.edu/degrees/mhrlr/application/domestic/faq.html
California Institute of Technology,https://gradoffice.caltech.edu/admissions/checklist,https://gradoffice.caltech.edu/admissions/faq-applicants
Pennsylvania State University,https://bulletins.psu.edu/graduate/programs/majors/computer-science/#admissionrequirementstext,https://www.eecs.psu.edu/students/graduate/EECS-Graduate-Frequently-Asked-Qs.aspx
University of Pennsylvania,https://gradadm.seas.upenn.edu/how-to-apply/,https://gradadm.seas.upenn.edu/faq/
Rutgers State University New Brunswick,https://www.cs.rutgers.edu/academics/graduate/m-s-program/admission-requirements/admission-to-m-s,https://www.cs.rutgers.edu/academics/graduate/m-s-program/faq
Arizona State University - Tempe,https://degrees.apps.asu.edu/masters-phd/major/ASU00/ESCOMSCMS/computer-science-ms?init=false&nopassive=true,https://admission.asu.edu/contact/faqs
University of North Carolina Chapel Hill,https://cs.unc.edu/graduate/graduate-admissions/,https://cs.unc.edu/graduate/graduate-admissions/admissions-faq/
Duke University,https://gradschool.duke.edu/academics/programs-degrees/computer-science-ms/,https://cs.duke.edu/graduate/faq
University of California Irvine,https://mcs.ics.uci.edu/prospective-students/admissions-requirement/,https://ics.uci.edu/admissions-information-and-computer-science/graduate-admissions/graduate-research-admissions-faq/
Northeastern University,https://www.khoury.northeastern.edu/apply/masters-apply/,https://www.khoury.northeastern.edu/apply/masters-apply/masters-admissions-questions/
University of California Santa Barbara,https://www.graddiv.ucsb.edu/graduate-programs/departments/computer-science,https://www.graddiv.ucsb.edu/how-apply/faqs-applicants
University of Minnesota Twin cities,https://cse.umn.edu/cs/ms-admissions,https://cse.umn.edu/cs/graduate-admission-faq
Virginia Polytechnic Institute & State University,https://cs.vt.edu/Graduate/Prospective.html,https://cs.vt.edu/Graduate/FAQs.html
Ohio State University,https://cse.osu.edu/prospective-students/graduate/cse-graduate-admissions,https://cse.osu.edu/news-online-trans.-faq/graduate-program-faq
